Nome;CPF;Idade;Cidade;Curso
Pedro;123.456.789-00;17;Ipatinga;Infromatica
Carod;123.456.789-01;10;Paraiso;Estetica
Felipe;123.456.789-02;11;Belo Oriente;Sistema
Marcos;123.456.789-03;15;Ipatinga;Medicina
Gabriel;123.456.789-04;20;Paraiso;Infromatica
Armando;123.456.789-05;74;Belo Oriente;Estetica
Junior;123.456.789-06;16;Ipatinga;Sistema
Milena;123.456.789-07;74;Paraiso;Medicina
Luisa;123.456.789-08;25;Belo Oriente;Infromatica
Jamile;123.456.789-09;42;Ipatinga;Estetica
Julia;123.456.789-10;25;Paraiso;Sistema
Elivane;123.456.789-11;35;Belo Oriente;Medicina
Wilma;123.456.789-12;36;Ipatinga;Infromatica
Gustavo;123.456.789-13;23;Paraiso;Estetica
